Variable Name,Data Type,Units,Data Point Name,Data Point Description,,DATA Table Column Location,VISUALIZATION Template Column Location,Default,Anticipated Range of Values,Source of Input Data
oftkrdp,float,bar,Medium Pressure drop across heat exchanger on Offtaker side,"Heat Exchanger ""Delta P"", on the Offtaker Side",MECHANICAL OPERATING PARAMETERS,CS,,(calculated),,Engine
F2,float,Liters per Minute,Medium Flow in the Heat Offtaker Circuit,What is the fluid flow in the Offtaker side?,MECHANICAL OPERATING PARAMETERS,CJ,BL,,,Client
fluid2vis,float,,Fluid Viscosity in Heat Offtaker Circuit,What is the viscosity of the Medium on the Offtaker side?,MECHANICAL OPERATING PARAMETERS,CL,BF,,,Client
fluid2hc,float,,Heat Capacity of Heat Offtaker Medium,What is the Heat Capacity of the Offtaker side Medium?,MECHANICAL OPERATING PARAMETERS,CM,BG, ,,Client
storst,string,Yes / No,Is there SHORT TERM thermal storage of the heated Medium?,If there is some kind of buffer tank?,MECHANICAL OPERATING PARAMETERS,CN,BM,No,Yes / No,Client
storstsz,float,,Size of the short term storage,How much Medium is stored or buffered?,MECHANICAL OPERATING PARAMETERS,CO,, , ,Client
storsttyp,string,n/a,Type of Short Term Storage,What type of storage is there?,MECHANICAL OPERATING PARAMETERS,CP,,Tank,50 char,Client
storlt,string,Yes / No,Is there LONG TERM thermal storage of the heated Medium?,If there is a reservior or large body of water?,MECHANICAL OPERATING PARAMETERS,CQ,BN,No,Yes / No,Client
storltsz,float,,Size of the long term storage,"What is the volume of the large, long term storage?",MECHANICAL OPERATING PARAMETERS,CR,, , ,Client
storlttyp,string,n/a,Type of Long Term Storage,What type of storage is there?,MECHANICAL OPERATING PARAMETERS,CT,,Reservior,50 char,Client
boost,string,Yes / No,Is extra equipment required to Elevate temperatures?,"If the Offtaker side Medium is not suffiently warm enough for the Offtaker's benefit, how is it further heated?",MECHANICAL OPERATING PARAMETERS,CK,AB,No,Yes / No,Client
boosteqp,string,n/a,What Equipment Type?,"What is used to boost the temperature to make it ""usable""?",MECHANICAL OPERATING PARAMETERS,CU,,Heat Pump,"""Heat Pump"", ""Boiler""",Client
bsthpcop,float,n/a,Heat Pump COP,"IF a heat pump is used, how efficient is that heat pump?",MECHANICAL OPERATING PARAMETERS,CV,AC,,0.5 - 1.0,Client
bstblreff,float,n/a,Boiler Efficiency,"IF a boiler is used, how efficient is that boiler?",MECHANICAL OPERATING PARAMETERS,CW,,,0.5 - 1.0,Client
pwrf2,float,kW,Electrical Power to operate Offtaker Medium stream,Power for fluid movement on the Heat Offtaker side,MECHANICAL OPERATING PARAMETERS,CX,,25,1.0 - 1000.0,Client
dvrusrday,float,n/a,Offtaker Daily Fluctuation Factor,"Calculated from Client Input, DAILY swing in Usage",MECHANICAL OPERATING PARAMETERS,CY,,1,(calculated),Engine
dvrusryr,float,n/a,Offtaker Seasonal Fluctuation Factor,"Calculated from Client Input, ANNUAL swing in Usage",MECHANICAL OPERATING PARAMETERS,CZ,,1,(calculated),Engine
prod1,string,,Offtaker Industrial Product 1,"Is there an industrial use for the heat? If so, what is the primary product?",Offtaker BUSINESS COSTS/BENEFITS,DM,AH,No,100 char,Client
prod1rev,float,€,Offtaker Product 1 Annual Revenue,Annual revenue to Offtaker from Product 1,Offtaker BUSINESS COSTS/BENEFITS,DN,,0,0,Client
prod2,string,,Offtaker Industrial Product 2,"Is there an industrial use for the heat? If so, what is the secondary product?",Offtaker BUSINESS COSTS/BENEFITS,DO,,No,100 char,Client
prod2rev,float,€,Offtaker Product 2 Annual Revenue,Annual revenue to Offtaker from Product 2,Offtaker BUSINESS COSTS/BENEFITS,DP,,0,0,Client
althtrate,float,€,Offtaker Cost of Alternative Heat ,What would heat cost RATE if there were no reuse?,Offtaker BUSINESS COSTS/BENEFITS,DQ,,,,Client
usrpwrrate,float,€,Cost of electricity (Offtaker),,Offtaker BUSINESS COSTS/BENEFITS,DR,,,,Client
benusrcard,float,€,Carbon Benefits,NOT CERTAIN HOW TO QUANTIFY,Offtaker BUSINESS COSTS/BENEFITS,DS,AN,,,Client
benusrmisc,float,€,Other Benefits,,Offtaker BUSINESS COSTS/BENEFITS,DT,AO,,,Client
benusremit,float,€,Emissions avoided at the Heat Offtaker,,Offtaker BUSINESS COSTS/BENEFITS,DU,,,,Client
benusrnrg,float,€,Energy savings certificates (or equivalent) For Offtaker,,Offtaker BUSINESS COSTS/BENEFITS,DV,,,,Client
cstusrmnt,float,€,Offtaker Cost of Maintenance,Annual maintenance cost SPECIFIC TO THIS HEAT SYSTEM,Offtaker BUSINESS COSTS/BENEFITS,DW,,,,
cstustext,float,€,External Offtaker equipment costs,,Offtaker BUSINESS COSTS/BENEFITS,DX,,,,Client
cstusrsto,float,€,Costs of Storage Equipment,,Offtaker BUSINESS COSTS/BENEFITS,DY,CI,,,Client
cstushteq,float,€,Ancillary Heat Offtaker Equipment Costs,,Offtaker BUSINESS COSTS/BENEFITS,DZ,CH,,,Client
benitcool,float,,Advanced Cooling Capacity,NOT CERTAIN HOW TO QUANTIFY,TENANT BUSINESS COSTS/BENEFITS,EB,,,,Client
cstitcool,float,€,Cost of cooling energy (IT facility),,TENANT BUSINESS COSTS/BENEFITS,EC,,,,Client
avdemit,float,€,Emissions Avoided at the IT facility,,OWNER BUSINESS BENFITS,EP,,,,Client
avdh20,float,€,Water Usage Avoidance,,OWNER BUSINESS BENFITS,EQ,,,,Client
heatrev,float,€,Earnings from selling the heat,"Where Offtaker pays for reused heat, at what RATE?",OWNER BUSINESS BENFITS,ER,,,,Client
nrgcerts,float,€,Energy savings certificates (or equivalent) IT facility,,OWNER BUSINESS BENFITS,ES,,,,Client
avdeqpt,float,€,Savings Associated to Avoided Equipment,,OWNER BUSINESS BENFITS,ET,,,,Client
subs,float,€,Subsidies,,OWNER BUSINESS BENFITS,EU,,,,Client
avdemtcst,float,€,Emissions Costs Avoided,,OWNER BUSINESS BENFITS,EV,,,,Client
avdtax,float,€,Tax rebates,,OWNER BUSINESS BENFITS,EW,,,,Client
costplan,float,€,Costs of Planning,Costs associated with the development of the project,CONSTRUCTION / INSTALLATION COSTS,FA,CL,,,Client
costperm,float,€,Costs of Permitting and Compliance,"Costs associated with securing permits, and complying with any jurisdictional regulations ",CONSTRUCTION / INSTALLATION COSTS,FB,,,,Client
costarch,float,€,Costs of Architects,Costs of engaging architects as required ,CONSTRUCTION / INSTALLATION COSTS,FC,,,,Client
costeng,float,€,Costs of Engineering,Costs of engaging engineers as required,CONSTRUCTION / INSTALLATION COSTS,FD,CM,,,Client
costmjeq,float,€,Cost of Equipment,Costs for the major equipment of Heat Reuse,CONSTRUCTION / INSTALLATION COSTS,FF,CF,,,Client
costmneq,float,€,Heat-exchanging room elements,Ancillary Equipment at Owner space,CONSTRUCTION / INSTALLATION COSTS,FG,,,,Client
cstinslpip,float,€,Installation Costs,"the costs of installing the major equipment within the Owners site, exclusice of piping.",CONSTRUCTION / INSTALLATION COSTS,FH,,,,Client
costcntrl,float,€,Costs of Controls,"The sum of all electronic monitoring and controlling devices, including one local ""PLC"" ",CONSTRUCTION / INSTALLATION COSTS,FI,,,,Client
cstelcinst,float,€,Electrical Installation,"The cost for the installation of both power wiring to the system, and conttrols installation and wiring.",CONSTRUCTION / INSTALLATION COSTS,FJ,,,,Client
pipitdia,int,mm,Piping Diameter (IT Side),The pipe size of the majority of the headers,CONSTRUCTION / INSTALLATION COSTS,FK,BY,,,Client
pipitlen,int, m,Piping Length (IT Side),The total length of Heat Reuse piping on the IT side of the system,CONSTRUCTION / INSTALLATION COSTS,FL,BZ,,,Client
pipitins,int,mm,Piping Insulation (IT Side),Thickness of the pipe insulation,CONSTRUCTION / INSTALLATION COSTS,FM,CA,,,Client
costpipit,float,€,Cost of Piping on the IT side,The costs of installing the IT Cooling piping,CONSTRUCTION / INSTALLATION COSTS,FN,,,(calculated),Engine
pipusdia,int,mm,Piping Diameter (Heat Offtaker Side),The pipe size of the majority of the headers,CONSTRUCTION / INSTALLATION COSTS,FU,CB,,,Client
pipuslen,int, m,Piping Length (Heat Offtaker Side),The total length of Heat Reuse piping on the IT side of the system,CONSTRUCTION / INSTALLATION COSTS,FV,CC,,,Client
pipusins,int,mm,Piping Insulation (Heat Offtaker Side),thickness of the pipe insulation,CONSTRUCTION / INSTALLATION COSTS,FQ,CD,,,Client
costpipusr,float,€,"Cost of piping on the Offtaker Side, within Owner boundary","Cost to install the Offtaker piping, on Owner site",CONSTRUCTION / INSTALLATION COSTS,FR,,,(calculated),Engine
costvalit,float,€,Valves and Fittings,An estimation of the ancillary piping devices,CONSTRUCTION / INSTALLATION COSTS,FS,,,(calculated),Engine
costvalusr,float,€,Valves and Fittings,An estimation of the ancillary piping devices,CONSTRUCTION / INSTALLATION COSTS,FT,,,(calculated),Engine
costpipe,float,€,Cost of Piping,The sum of all the piping installation costs,CONSTRUCTION / INSTALLATION COSTS,FO,CE,#NAME?,(calculated),Engine
costanceq,float,€,Ancillary IT Facility Costs,Miscellaneous costs to accommodate the system,CONSTRUCTION / INSTALLATION COSTS,FP,CG,,,Client
costcvl,float,€,Civil works associated,"All cumulative costs to install the infrastructure, NOT within the Owner or Offtaker boundaries",CONSTRUCTION / INSTALLATION COSTS,FW,,,,Client
coststct,float,€,Weight bearing elements,Facility structural costs,CONSTRUCTION / INSTALLATION COSTS,FX,,,,Client
costinst,float,€,The cost of installing the Heat Reuse System,"Costs of installation, incurred at the Owners site",CONSTRUCTION / INSTALLATION COSTS,FY,,,,Client
costitctr,float,€,What was the cost of the IT facility or data centre?,What is the reported value of the IT Facility?,CONSTRUCTION / INSTALLATION COSTS,FZ,AI,,,Client
spaceval,,,Space costs,The value of the real estate occupied by the heat reuse equipment,OWNER OPERATING COSTS,GA,,,,Client
costchlr,,,Energy usage for chillers,"The cost of operating chillers, to replace the heat rejection of heat to the Offtaker",OWNER OPERATING COSTS,GB,,,,Client
costfrec,,,Energy usage for free-cooling,"The cost of operating an alternate cooling strategy, to replace the heat rejection of heat to the Offtaker",OWNER OPERATING COSTS,GC,,,,Client
costmaint,,,Maintenance of the Heat Transfer System,Annual cost to maintain the system,OWNER OPERATING COSTS,GD,,,,Client
bounds,string,n/a,Boundary definition,,COMMON,EG,,HX Flanges,500 CHAR,Client
r,float,%,Discount Rate (for NPV = 0),,COMMON,EH,,0.03,0.001 - 0.10,Client
T,float,years,Amortization time,,COMMON,EJ,,20,.5 - 40.0,Client
costproj,float,€,What was the cost to implement  Heat Reuse?,"The sum of all construction and project costs, before operations, by all parties, not including any offsets.",BOTTOM LINE,GS,AJ,(calculated),,Engine
costoper,float,€,What will be the anticipated Operating Cost for one year?,"Based on performance of the systems as rated, presuming fully loaded IT, and full heat utilization by the Offtaker system.",BOTTOM LINE,GT,,(calculated),,Engine
sumoffset,float,€,What is the sum of all direct incentives?,"The sum of all rebates, bonuses, offsets, etc.",BOTTOM LINE,GU,,(calculated),,Engine
IRR,float,€,IRR,,BOTTOM LINE,GX,,(calculated),,Engine
NPV,float,€,NPV,,BOTTOM LINE,GY,,(calculated),,Engine
ROI,float,€,Net Return on Investment,,BOTTOM LINE,GZ,,(calculated),,Engine
